2023-04-29 09:41:04 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2023-04-29 09:41:04 status half-configured liblzma5:amd64 5.2.5-2.1~deb11u1
2023-04-29 09:41:04 status installed liblzma5:amd64 5.2.5-2.1~deb11u1
2023-04-29 09:41:04 configure libgpg-error0:amd64 1.38-2 <none>
2023-04-29 09:41:04 status unpacked libgpg-error0:amd64 1.38-2
2023-04-29 09:41:04 status half-configured libgpg-error0:amd64 1.38-2
2023-04-29 09:41:04 status installed libgpg-error0:amd64 1.38-2
2023-04-29 09:41:04 configure liblz4-1:amd64 1.9.3-2 <none>
2023-04-29 09:41:04 status unpacked liblz4-1:amd64 1.9.3-2
2023-04-29 09:41:04 status half-configured liblz4-1:amd64 1.9.3-2
2023-04-29 09:41:04 status installed liblz4-1:amd64 1.9.3-2
2023-04-29 09:41:04 configure libc-bin:amd64 2.31-13+deb11u5 <none>
2023-04-29 09:41:04 status unpacked libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 status half-configured libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 status installed libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 configure ncurses-bin:amd64 6.2+20201114-2 <none>
2023-04-29 09:41:04 status unpacked ncurses-bin:amd64 6.2+20201114-2
2023-04-29 09:41:04 status half-configured ncurses-bin:amd64 6.2+20201114-2
2023-04-29 09:41:04 status installed ncurses-bin:amd64 6.2+20201114-2
2023-04-29 09:41:04 configure libacl1:amd64 2.2.53-10 <none>
2023-04-29 09:41:04 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 status unpacked libacl1:amd64 2.2.53-10
2023-04-29 09:41:04 status half-configured libacl1:amd64 2.2.53-10
2023-04-29 09:41:04 status installed libacl1:amd64 2.2.53-10
2023-04-29 09:41:04 configure libsmartcols1:amd64 2.36.1-8+deb11u1 <none>
2023-04-29 09:41:04 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 status half-configured libsmartcols1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 status installed libsmartcols1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 configure libgcrypt20:amd64 1.8.7-6 <none>
2023-04-29 09:41:04 status unpacked libgcrypt20:amd64 1.8.7-6
2023-04-29 09:41:04 status half-configured libgcrypt20:amd64 1.8.7-6
2023-04-29 09:41:04 status installed libgcrypt20:amd64 1.8.7-6
